name,capacity[MW],start[y],retirement[y],type,latitude,longitude,county,state,unit
American Falls hydroelectric plant,92,1978.0,,conventional storage,42.7778,-112.876,Power County,Idaho,1
Balch 2 hydroelectric plant,97,1958.0,,conventional storage,36.9089,-119.088,Fresno County,California,1
Belden hydroelectric plant,118,1969.0,,conventional storage,40.0074,-121.249,Plumas County,California,1
Big Creek 1 hydroelectric plant,88,1913.0,,conventional storage,37.2042,-119.2401,Fresno County,California,1
Big Creek 2A hydroelectric plant,110,1928.0,,conventional storage,37.2001,-119.307,Fresno County,California,1
Big Creek 3 hydroelectric plant,175,1923.0,,conventional storage,37.1485,-119.387,Fresno County,California,1
Big Creek 4 hydroelectric plant,100,1951.0,,conventional storage,37.139,-119.4901,Madera County,California,1
Big Creek 8 hydroelectric plant,75,1921.0,,conventional storage,37.2096,-119.329,Fresno County,California,1
Bliss hydroelectric plant,75,1949.0,,run-of-river,42.9138,-115.071,Gooding County,Idaho,1
Blue Mesa hydroelectric plant,86,1967.0,,conventional storage,38.4532,-107.338,Gunnison County,Colorado,1
Bonneville hydroelectric plant,1162,1938.0,,run-of-river,45.6441,-121.941,Multnomah County,Oregon,1
Boundary hydroelectric plant,1119,1967.0,,conventional storage,48.9871,-117.348,Pend Oreille County,Washington,1
Box Canyon hydroelectric plant,90,1955.0,,run-of-river,48.7809,-117.418,Pend Oreille County,Washington,1
Brownlee hydroelectric plant,675,1958.0,,conventional storage,44.8367,-116.898,Washington County,Idaho,1
C. J. Strike hydroelectric plant,83,1952.0,,conventional storage,42.9449,-115.978,Owyhee County,Idaho,1
Cabin Creek hydroelectric plant,300,1967.0,,pumped storage,39.6551,-105.709,Clear Creek County,Colorado,1
Cabinet Gorge hydroelectric plant,265,1952.0,,conventional storage,48.0844,-116.053,Bonner County,Idaho,1
Camino hydroelectric plant,158,1963.0,,conventional storage,38.8288,-120.537,El Dorado County,California,1
Caribou 2 hydroelectric plant,118,1958.0,,conventional storage,40.086,-121.149,Plumas County,California,1
Carmen Smith hydroelectric plant,114,1963.0,,conventional storage,44.286,-122.041,Linn County,Oregon,1
Castaic hydroelectric plant,1682,1972.0,,conventional and pumped storage,34.5872,-118.657,Los Angeles County,California,1
Chief Joseph hydroelectric plant,2456,1955.0,,conventional storage,47.9951,-119.6401,Douglas County,Washington,1
Colgate hydroelectric plant,315,1969.0,,conventional storage,39.3308,-121.192,Yuba County,California,1
Collierville hydroelectric plant,253,1989.0,,conventional storage,38.1446,-120.381,Calaveras County,California,1
Cushman 2 hydroelectric plant,85,1930.0,,conventional storage,47.3698,-123.1601,Mason County,Washington,1
Davis Dam hydroelectric plant,255,1951.0,,conventional storage,35.197,-114.571,Mohave County,Arizona,1
Detroit Dam hydroelectric plant,100,1953.0,,conventional storage,44.7224,-122.251,Marion County,Oregon,1
Devil Canyon hydroelectric plant,276,1972.0,,conventional storage,34.2056,-117.334,San Bernardino County,California,1
Diablo hydroelectric plant,182,1936.0,,run-of-river,48.7138,-121.132,Whatcom County,Washington,1
Dion R. Holm hydroelectric plant,157,1960.0,,conventional storage,37.8966,-119.968,Tuolumne County,California,1
Don Pedro hydroelectric plant,171,1971.0,,conventional storage,37.696,-120.4201,Tuolumne County,California,1
Dworshak hydroelectric plant,465,1974.0,,conventional storage,46.5143,-116.298,Clearwater County,Idaho,1
Edward C. Hyatt hydroelectric plant,351,1968.0,,conventional storage,39.543,-121.492,Butte County,California,1
Edward C. Hyatt Pumped Storage hydroelectric plant,293,1968.0,,pumped storage,39.543,-121.492,Butte County,California,1
Electra hydroelectric plant,103,1948.0,,conventional storage,38.331,-120.6701,Amador County,California,1
Flaming Gorge hydroelectric plant,152,1963.0,,conventional storage,40.9146,-109.422,Daggett County,Utah,1
Flatiron hydroelectric plant,95,1954.0,,conventional and pumped storage,40.365,-105.236,Larimer County,Colorado,1
Folsom hydroelectric plant,199,1955.0,,conventional storage,38.7068,-121.158,Sacramento County,California,1
Fort Peck hydroelectric plant,180,1943.0,,conventional storage,48.0122,-106.412,McCone County,Montana,1
Glen Canyon hydroelectric plant,1312,1964.0,,conventional storage,36.9366,-111.484,Coconino County,Arizona,1
Gorge hydroelectric plant,207,1924.0,,conventional storage,48.6981,-121.209,Whatcom County,Washington,1
Grand Coulee Left hydroelectric plant,1155,1941.0,,conventional storage,47.9565,-118.981,Grant County,Washington,1
Grand Coulee Right hydroelectric plant,1125,1941.0,,conventional storage,47.9565,-118.981,Grant County,Washington,1
Green Peter hydroelectric plant,80,1967.0,,conventional storage,44.4494,-122.549,Linn County,Oregon,1
Haas hydroelectric plant,135,1958.0,,conventional storage,36.9274,-119.0201,Fresno County,California,1
Hells Canyon hydroelectric plant,392,1967.0,,conventional storage,45.2439,-116.701,Wallowa County,Oregon,1
Helms hydroelectric plant,1053,1984.0,,pumped storage,37.0293,-118.968,Fresno County,California,1
Henry M. Jackson hydroelectric plant,112,1984.0,,conventional storage,47.9084,-121.814,Snohomish County,Washington,1
Horse Mesa hydroelectric plant,130,1927.0,,conventional and pumped storage,33.5907,-111.344,Maricopa County,Arizona,1
Hungry Horse hydroelectric plant,428,1952.0,,conventional storage,48.3415,-114.014,Flathead County,Montana,1
Ice Harbor hydroelectric plant,603,1962.0,,run-of-river,46.2498,-118.8801,Walla Walla County,Washington,1
J. S. Eastwood hydroelectric plant,200,1987.0,,pumped storage,37.1479,-119.257,Fresno County,California,1
James B. Black hydroelectric plant,169,1965.0,,conventional storage,40.9923,-121.975,Shasta County,California,1
Jaybird hydroelectric plant,162,1961.0,,conventional storage,38.834,-120.532,El Dorado County,California,1
