Plant Code,Plant Name,State,County,Latitude,Longitude,NERC Region,Balancing Authority Code,Nameplate Capacity (MW),Nameplate Energy Capacity (MWh),Maximum Charge Rate (MW),Maximum Discharge Rate (MW),Generator Count,Year,Month,Charge (MWh),Discharge (MWh),Net Gen (MWh),geohash,match_dist_km
141,Agua Fria,AZ,Maricopa,33.5561,-112.2153,WECC,SRP,25.0,100.0,25.0,25.0,1,2021,1.0,,,,9w01f3,59.3
141,Agua Fria,AZ,Maricopa,33.5561,-112.2153,WECC,SRP,25.0,100.0,25.0,25.0,1,2021,2.0,,,,9w01f3,59.3
141,Agua Fria,AZ,Maricopa,33.5561,-112.2153,WECC,SRP,25.0,100.0,25.0,25.0,1,2021,3.0,,,,9w01f3,59.3
141,Agua Fria,AZ,Maricopa,33.5561,-112.2153,WECC,SRP,25.0,100.0,25.0,25.0,1,2021,4.0,,,,9w01f3,59.3
141,Agua Fria,AZ,Maricopa,33.5561,-112.2153,WECC,SRP,25.0,100.0,25.0,25.0,1,2021,5.0,,,,9w01f3,59.3
141,Agua Fria,AZ,Maricopa,33.5561,-112.2153,WECC,SRP,25.0,100.0,25.0,25.0,1,2021,6.0,,,,9w01f3,59.3
141,Agua Fria,AZ,Maricopa,33.5561,-112.2153,WECC,SRP,25.0,100.0,25.0,25.0,1,2021,7.0,,,,9w01f3,59.3
141,Agua Fria,AZ,Maricopa,33.5561,-112.2153,WECC,SRP,25.0,100.0,25.0,25.0,1,2021,8.0,,,,9w01f3,59.3
141,Agua Fria,AZ,Maricopa,33.5561,-112.2153,WECC,SRP,25.0,100.0,25.0,25.0,1,2021,9.0,2219.0,1916.0,-303.0,9w01f3,59.3
141,Agua Fria,AZ,Maricopa,33.5561,-112.2153,WECC,SRP,25.0,100.0,25.0,25.0,1,2021,10.0,1758.0,1494.0,-264.0,9w01f3,59.3
141,Agua Fria,AZ,Maricopa,33.5561,-112.2153,WECC,SRP,25.0,100.0,25.0,25.0,1,2021,11.0,1929.0,1541.0,-388.0,9w01f3,59.3
141,Agua Fria,AZ,Maricopa,33.5561,-112.2153,WECC,SRP,25.0,100.0,25.0,25.0,1,2021,12.0,1800.0,1541.0,-259.0,9w01f3,59.3
141,Agua Fria,AZ,Maricopa,33.5561,-112.2153,WECC,SRP,25.0,100.0,25.0,25.0,1,2022,1.0,1261.0,1088.0,-173.0,9w01f3,59.3
141,Agua Fria,AZ,Maricopa,33.5561,-112.2153,WECC,SRP,25.0,100.0,25.0,25.0,1,2022,2.0,1981.0,1611.0,-370.0,9w01f3,59.3
141,Agua Fria,AZ,Maricopa,33.5561,-112.2153,WECC,SRP,25.0,100.0,25.0,25.0,1,2022,3.0,1953.0,1655.0,-298.0,9w01f3,59.3
